alignments	anticodons	agreement	count	input_file	simulation_n	quant_method
single	single	correct	495539	ALLtRNAseq_hESC_0_1	0	bowtie2
single	single	incorrect	1102	ALLtRNAseq_hESC_0_1	0	bowtie2
multiple	single	correct	386628	ALLtRNAseq_hESC_0_1	0	bowtie2
multiple	single	incorrect	1077	ALLtRNAseq_hESC_0_1	0	bowtie2
multiple	multiple	incorrect	114151	ALLtRNAseq_hESC_0_1	0	bowtie2
single	single	correct	483290	ALLtRNAseq_hESC_0_1	0	shrimp
single	single	incorrect	1418	ALLtRNAseq_hESC_0_1	0	shrimp
multiple	single	correct	367253	ALLtRNAseq_hESC_0_1	0	shrimp
multiple	single	incorrect	1057	ALLtRNAseq_hESC_0_1	0	shrimp
multiple	multiple	incorrect	104694	ALLtRNAseq_hESC_0_1	0	shrimp
multiple	multiple	incorrect	66791	ALLtRNAseq_hESC_0_1	1	bowtie2
multiple	single	correct	60006	ALLtRNAseq_hESC_0_1	1	bowtie2
multiple	single	incorrect	1417	ALLtRNAseq_hESC_0_1	1	bowtie2
single	single	correct	850242	ALLtRNAseq_hESC_0_1	1	bowtie2
single	single	incorrect	4265	ALLtRNAseq_hESC_0_1	1	bowtie2
single	single	correct	280059	ALLtRNAseq_hESC_0_1	1	shrimp
single	single	incorrect	1036	ALLtRNAseq_hESC_0_1	1	shrimp
multiple	multiple	incorrect	47684	ALLtRNAseq_hESC_0_1	1	shrimp
multiple	single	correct	57301	ALLtRNAseq_hESC_0_1	1	shrimp
multiple	single	incorrect	637	ALLtRNAseq_hESC_0_1	1	shrimp
single	single	correct	613093	ALLtRNAseq_hESC_0_1	2	bowtie2
single	single	incorrect	1871	ALLtRNAseq_hESC_0_1	2	bowtie2
multiple	multiple	incorrect	147817	ALLtRNAseq_hESC_0_1	2	bowtie2
multiple	single	correct	235548	ALLtRNAseq_hESC_0_1	2	bowtie2
multiple	single	incorrect	724	ALLtRNAseq_hESC_0_1	2	bowtie2
single	single	correct	604056	ALLtRNAseq_hESC_0_1	2	shrimp
single	single	incorrect	1963	ALLtRNAseq_hESC_0_1	2	shrimp
multiple	single	correct	224366	ALLtRNAseq_hESC_0_1	2	shrimp
multiple	single	incorrect	636	ALLtRNAseq_hESC_0_1	2	shrimp
multiple	multiple	incorrect	142974	ALLtRNAseq_hESC_0_1	2	shrimp
single	single	correct	354358	ALLtRNAseq_hESC_0_1	3	bowtie2
single	single	incorrect	1035	ALLtRNAseq_hESC_0_1	3	bowtie2
multiple	single	correct	574943	ALLtRNAseq_hESC_0_1	3	bowtie2
multiple	single	incorrect	391	ALLtRNAseq_hESC_0_1	3	bowtie2
multiple	multiple	incorrect	68301	ALLtRNAseq_hESC_0_1	3	bowtie2
single	single	correct	340539	ALLtRNAseq_hESC_0_1	3	shrimp
single	single	incorrect	1055	ALLtRNAseq_hESC_0_1	3	shrimp
multiple	single	correct	559366	ALLtRNAseq_hESC_0_1	3	shrimp
multiple	single	incorrect	550	ALLtRNAseq_hESC_0_1	3	shrimp
multiple	multiple	incorrect	52711	ALLtRNAseq_hESC_0_1	3	shrimp
single	single	correct	286430	ALLtRNAseq_hESC_0_1	4	bowtie2
single	single	incorrect	2693	ALLtRNAseq_hESC_0_1	4	bowtie2
multiple	multiple	incorrect	139740	ALLtRNAseq_hESC_0_1	4	bowtie2
multiple	single	correct	567819	ALLtRNAseq_hESC_0_1	4	bowtie2
multiple	single	incorrect	551	ALLtRNAseq_hESC_0_1	4	bowtie2
single	single	correct	270978	ALLtRNAseq_hESC_0_1	4	shrimp
single	single	incorrect	2830	ALLtRNAseq_hESC_0_1	4	shrimp
multiple	multiple	incorrect	107623	ALLtRNAseq_hESC_0_1	4	shrimp
multiple	single	incorrect	3073	ALLtRNAseq_hESC_0_1	4	shrimp
multiple	single	correct	557307	ALLtRNAseq_hESC_0_1	4	shrimp
single	single	correct	677583	ALLtRNAseq_hESC_0_1	5	bowtie2
single	single	incorrect	2818	ALLtRNAseq_hESC_0_1	5	bowtie2
multiple	multiple	incorrect	46172	ALLtRNAseq_hESC_0_1	5	bowtie2
multiple	single	correct	270675	ALLtRNAseq_hESC_0_1	5	bowtie2
multiple	single	incorrect	360	ALLtRNAseq_hESC_0_1	5	bowtie2
single	single	correct	647189	ALLtRNAseq_hESC_0_1	5	shrimp
single	single	incorrect	2365	ALLtRNAseq_hESC_0_1	5	shrimp
multiple	multiple	incorrect	41517	ALLtRNAseq_hESC_0_1	5	shrimp
multiple	single	correct	246616	ALLtRNAseq_hESC_0_1	5	shrimp
multiple	single	incorrect	448	ALLtRNAseq_hESC_0_1	5	shrimp
single	single	correct	282559	ALLtRNAseq_hESC_0_1	6	bowtie2
single	single	incorrect	1112	ALLtRNAseq_hESC_0_1	6	bowtie2
multiple	multiple	incorrect	222741	ALLtRNAseq_hESC_0_1	6	bowtie2
multiple	single	correct	492674	ALLtRNAseq_hESC_0_1	6	bowtie2
multiple	single	incorrect	355	ALLtRNAseq_hESC_0_1	6	bowtie2
