alignments	anticodons	agreement	count	input_file	simulation_n	quant_method
single	single	correct	500029	ALLtRNAseq_hESC_0_1	0	bowtie2
single	single	incorrect	2704	ALLtRNAseq_hESC_0_1	0	bowtie2
multiple	multiple	incorrect	83146	ALLtRNAseq_hESC_0_1	0	bowtie2
multiple	single	incorrect	526	ALLtRNAseq_hESC_0_1	0	bowtie2
multiple	single	correct	410929	ALLtRNAseq_hESC_0_1	0	bowtie2
single	single	correct	465637	ALLtRNAseq_hESC_0_1	0	shrimp
single	single	incorrect	2709	ALLtRNAseq_hESC_0_1	0	shrimp
multiple	multiple	incorrect	73316	ALLtRNAseq_hESC_0_1	0	shrimp
multiple	single	incorrect	733	ALLtRNAseq_hESC_0_1	0	shrimp
multiple	single	correct	391213	ALLtRNAseq_hESC_0_1	0	shrimp
single	single	correct	501756	ALLtRNAseq_hESC_0_2	0	bowtie2
single	single	incorrect	2458	ALLtRNAseq_hESC_0_2	0	bowtie2
multiple	multiple	incorrect	83768	ALLtRNAseq_hESC_0_2	0	bowtie2
multiple	single	incorrect	828	ALLtRNAseq_hESC_0_2	0	bowtie2
multiple	single	correct	408523	ALLtRNAseq_hESC_0_2	0	bowtie2
single	single	correct	466823	ALLtRNAseq_hESC_0_2	0	shrimp
single	single	incorrect	2434	ALLtRNAseq_hESC_0_2	0	shrimp
multiple	multiple	incorrect	72101	ALLtRNAseq_hESC_0_2	0	shrimp
multiple	single	incorrect	907	ALLtRNAseq_hESC_0_2	0	shrimp
multiple	single	correct	388267	ALLtRNAseq_hESC_0_2	0	shrimp
single	single	correct	502794	ALLtRNAseq_hESC_0_3	0	bowtie2
single	single	incorrect	2790	ALLtRNAseq_hESC_0_3	0	bowtie2
multiple	multiple	incorrect	75092	ALLtRNAseq_hESC_0_3	0	bowtie2
multiple	single	incorrect	677	ALLtRNAseq_hESC_0_3	0	bowtie2
multiple	single	correct	415910	ALLtRNAseq_hESC_0_3	0	bowtie2
single	single	correct	473728	ALLtRNAseq_hESC_0_3	0	shrimp
single	single	incorrect	2930	ALLtRNAseq_hESC_0_3	0	shrimp
multiple	single	incorrect	691	ALLtRNAseq_hESC_0_3	0	shrimp
multiple	single	correct	397642	ALLtRNAseq_hESC_0_3	0	shrimp
multiple	multiple	incorrect	67077	ALLtRNAseq_hESC_0_3	0	shrimp
single	single	correct	496904	ALLtRNAseq_hESC_5_1	0	bowtie2
single	single	incorrect	3251	ALLtRNAseq_hESC_5_1	0	bowtie2
multiple	multiple	incorrect	81609	ALLtRNAseq_hESC_5_1	0	bowtie2
multiple	single	incorrect	650	ALLtRNAseq_hESC_5_1	0	bowtie2
multiple	single	correct	413873	ALLtRNAseq_hESC_5_1	0	bowtie2
single	single	correct	459794	ALLtRNAseq_hESC_5_1	0	shrimp
single	single	incorrect	3080	ALLtRNAseq_hESC_5_1	0	shrimp
multiple	multiple	incorrect	70437	ALLtRNAseq_hESC_5_1	0	shrimp
multiple	single	incorrect	831	ALLtRNAseq_hESC_5_1	0	shrimp
multiple	single	correct	389024	ALLtRNAseq_hESC_5_1	0	shrimp
single	single	correct	503600	ALLtRNAseq_hESC_5_2	0	bowtie2
single	single	incorrect	2294	ALLtRNAseq_hESC_5_2	0	bowtie2
multiple	multiple	incorrect	76280	ALLtRNAseq_hESC_5_2	0	bowtie2
multiple	single	incorrect	640	ALLtRNAseq_hESC_5_2	0	bowtie2
multiple	single	correct	412775	ALLtRNAseq_hESC_5_2	0	bowtie2
single	single	correct	463708	ALLtRNAseq_hESC_5_2	0	shrimp
single	single	incorrect	1983	ALLtRNAseq_hESC_5_2	0	shrimp
multiple	multiple	incorrect	67751	ALLtRNAseq_hESC_5_2	0	shrimp
multiple	single	incorrect	584	ALLtRNAseq_hESC_5_2	0	shrimp
multiple	single	correct	388026	ALLtRNAseq_hESC_5_2	0	shrimp
single	single	correct	492304	ALLtRNAseq_hESC_5_3	0	bowtie2
single	single	incorrect	3543	ALLtRNAseq_hESC_5_3	0	bowtie2
multiple	multiple	incorrect	85900	ALLtRNAseq_hESC_5_3	0	bowtie2
multiple	single	incorrect	629	ALLtRNAseq_hESC_5_3	0	bowtie2
multiple	single	correct	411922	ALLtRNAseq_hESC_5_3	0	bowtie2
single	single	correct	444265	ALLtRNAseq_hESC_5_3	0	shrimp
single	single	incorrect	2911	ALLtRNAseq_hESC_5_3	0	shrimp
multiple	multiple	incorrect	66398	ALLtRNAseq_hESC_5_3	0	shrimp
multiple	single	incorrect	549	ALLtRNAseq_hESC_5_3	0	shrimp
multiple	single	correct	384392	ALLtRNAseq_hESC_5_3	0	shrimp
